Nombre,Telefono,Pais,Ocupacion
Sandra Sedgemond,633-257-5836,Lebanon,Programmer IV
Wilone Zmitrichenko,244-666-7888,China,Research Associate
Shamus Rubenovic,372-444-5406,Kenya,Mechanical Systems Engineer
Aurora Bampkin,916-703-7920,Russia,Editor
Aggi Hobell,962-846-7749,China,Accounting Assistant IV
Allyson Loughran,860-709-6116,South Korea,Registered Nurse
Brok Hinkes,921-615-8179,Brazil,Senior Cost Accountant
Deerdre Chittim,832-327-0417,Bulgaria,Automation Specialist I
Caryn Legg,764-800-0577,Colombia,Administrative Assistant IV
Modestia De Freyne,167-990-0116,Albania,Desktop Support Technician
Riordan Maloney,280-653-2828,Samoa,Director of Sales
Griswold Barendtsen,993-502-8458,Spain,Graphic Designer
Sayer Edgehill,838-704-3468,China,Budget/Accounting Analyst I
Cyrus Branton,372-383-2253,Russia,Operator
Delly Rao,681-683-0396,Czech Republic,Office Assistant IV
Vanna Mordon,340-548-1699,Nigeria,Nurse
Gareth Brim,410-610-1088,China,Executive Secretary
Lucretia Fydoe,543-125-7081,Portugal,Biostatistician I
Beverlie Vedikhov,397-753-7745,Togo,Software Test Engineer I
Fara Rimington,811-638-4253,Botswana,Health Coach II
Lian Veivers,387-488-8951,China,Budget/Accounting Analyst I
Melitta Pfiffer,700-686-3704,Sweden,Geological Engineer
Bobbette Mattioni,365-590-4800,Poland,Media Manager I
Yehudit Penniall,728-532-0751,Niger,Web Developer I
Annice Evershed,312-452-4151,Russia,Food Chemist
Thane Filgate,248-667-8184,Ireland,Assistant Manager
Robbie Beveredge,452-241-9077,Sweden,Systems Administrator I
Galina Hayter,767-665-1327,Nigeria,Geologist II
Tildy Shatford,622-671-5293,Myanmar,Staff Accountant I
Timothee Alabaster,616-560-2490,Russia,Mechanical Systems Engineer
Sybilla Wolfinger,438-643-1497,South Africa,Help Desk Technician
Selby Schuler,118-158-3534,China,Professor
Gar Reace,511-737-0918,Pakistan,Paralegal
Simmonds Jessopp,335-153-3402,Colombia,Media Manager III
Syman McCluin,770-383-8192,China,Accounting Assistant II
Faye Maffini,130-307-5935,Portugal,Accountant II
